phase,field,summary,T16,T32,T64,T16_T32_difference,T32_T64_difference,gate,passed_T32_T64
0.75,myocyte_jelly_tangential_traction,absolute_p95,0.047247736043794515,0.047243991199089785,0.04724322856544473,7.92597702725608e-05,1.6142447445658655e-05,0.05,True
0.75,myocyte_jelly_traction_magnitude,normalized_l2,,,,8.507796596382191e-05,1.7156828344896073e-05,0.05,True
0.75,myocyte_jelly_traction_magnitude,absolute_p95,0.04770518920935639,0.0477013926899483,0.04770061718750438,7.958294414104811e-05,1.6257438204412993e-05,0.05,True
1.0,ecm_displacement,normalized_l2,,,,0.7997965637471882,0.8126789605243029,0.05,False
1.0,ecm_displacement,absolute_p95,1.0184187194909656e-06,2.0324017560028572e-07,4.3893408577442126e-08,0.80043554609653,0.7840318310698192,0.05,False
1.0,ecm_dissipation_density,normalized_l2,,,,0.0021738424778093017,0.001548252049785346,0.05,True
1.0,ecm_dissipation_density,absolute_p95,6.31388582729896e-05,6.300359709013191e-05,6.29089516932605e-05,0.0021422811016453217,0.0015022221149694286,0.05,True
1.0,ecm_equilibrium_energy_density,normalized_l2,,,,0.013582358381353084,0.006063485931237794,0.05,True
1.0,ecm_equilibrium_energy_density,absolute_p95,1.4622279729031859e-05,1.4824369849460176e-05,1.491508825265561e-05,0.013632290780688824,0.006082324265113273,0.05,True
1.0,ecm_internal_z,normalized_l2,,,,0.006798085363324655,0.0030820868821225715,0.05,True
1.0,ecm_internal_z,absolute_p95,0.017161671357320333,0.017277966489166914,0.017331789312245452,0.006730834436997946,0.0031054394966889168,0.05,True
1.0,ecm_jacobian,normalized_l2,,,,1.2308071668373839e-06,6.135430017962008e-07,0.05,True
1.0,ecm_jacobian,absolute_p95,1.0002850852924141,1.0002869479478464,1.0002879047339053,1.8621211005102228e-06,9.565106748742155e-07,0.05,True
1.0,ecm_max_principal_cauchy_stress,normalized_l2,,,,0.006482868601994723,0.003213392272358116,0.05,True
1.0,ecm_max_principal_cauchy_stress,absolute_p95,0.008238136290232399,0.008292429005076785,0.0083188719751085,0.006547263149451982,0.0031786725545045517,0.05,True
1.0,ecm_max_principal_green_lagrange_strain,normalized_l2,,,,0.006939351446096044,0.0030029003568236524,0.05,True
1.0,ecm_max_principal_green_lagrange_strain,absolute_p95,0.001951414311039513,0.0019649799192291355,0.001970883614709138,0.006903687949617457,0.002995456167955233,0.05,True
1.0,ecm_viscoelastic_energy_density,normalized_l2,,,,0.013421442861809421,0.00626181476850407,0.05,True
1.0,ecm_viscoelastic_energy_density,absolute_p95,6.119129990223502e-05,6.202555493034427e-05,6.241907286673215e-05,0.013450182413460625,0.006304450199509667,0.05,True
1.0,endocardial_displacement,normalized_l2,,,,0.752825781888531,0.8459609339263467,0.05,False
1.0,endocardial_displacement,absolute_p95,3.6124302606548824e-07,9.975166296334374e-08,1.4588816623681993e-08,0.7238654983881677,0.8537486374633874,0.05,False
1.0,jelly_endocardium_normal_traction,normalized_l2,,,,0.006297949590598981,0.003294565395416431,0.05,True
1.0,jelly_endocardium_normal_traction,absolute_p95,3.0271002902114234e-06,3.052811144294176e-06,3.0617096612951017e-06,0.00842202575511655,0.0029063882553650735,0.05,True
1.0,jelly_endocardium_tangential_traction,normalized_l2,,,,0.006908656756965374,0.002866171455531516,0.05,True
1.0,jelly_endocardium_tangential_traction,absolute_p95,0.0003610406145647556,0.0003635445746557709,0.00036461839565689867,0.006887628823470238,0.002945054374432036,0.05,True
1.0,jelly_endocardium_traction_magnitude,normalized_l2,,,,0.006834334750409225,0.0029221980551995884,0.05,True
1.0,jelly_endocardium_traction_magnitude,absolute_p95,0.00040972586026800456,0.00041233820758886894,0.0004136533542975385,0.00633544811706869,0.0031793449636179955,0.05,True
1.0,myocyte_displacement,normalized_l2,,,,0.8277128092703767,0.8258910621000081,0.05,False
1.0,myocyte_displacement,absolute_p95,1.6768071374187734e-08,2.8740171673156066e-09,4.997696652589595e-10,0.8286018049911344,0.8261076270028842,0.05,False
1.0,myocyte_jelly_normal_traction,normalized_l2,,,,0.006853150700118738,0.003185542159707047,0.05,True
1.0,myocyte_jelly_normal_traction,absolute_p95,5.50147230443099e-05,5.552943254920994e-05,5.566321263320176e-05,0.0092691295637481,0.0024033841681646837,0.05,True
1.0,myocyte_jelly_tangential_traction,normalized_l2,,,,0.006812298057894713,0.0030490718708541973,0.05,True
1.0,myocyte_jelly_tangential_traction,absolute_p95,0.0023006061027721287,0.0023163731680338933,0.0023234399612362083,0.0068067898037117575,0.003041521760930328,0.05,True
1.0,myocyte_jelly_traction_magnitude,normalized_l2,,,,0.00681250353798643,0.0030498585901926147,0.05,True
1.0,myocyte_jelly_traction_magnitude,absolute_p95,0.0023006061027721287,0.0023163731680338937,0.0023234399612362083,0.006806789803711944,0.003041521760930141,0.05,True
